iter	Passed	Remaining
413	3275	12547
414	3283	12540
415	3291	12533
416	3297	12516
417	3302	12499
418	3311	12495
419	3319	12486
420	3326	12476
421	3335	12473
422	3340	12453
423	3348	12447
424	3356	12437
425	3360	12416
426	3365	12396
427	3373	12388
428	3382	12385
429	3391	12381
430	3398	12372
431	3405	12360
432	3414	12357
433	3423	12353
434	3429	12338
435	3435	12325
436	3444	12319
437	3449	12303
438	3459	12301
439	3467	12293
440	3475	12286
441	3478	12262
442	3485	12250
443	3492	12240
444	3499	12227
445	3508	12225
446	3515	12212
447	3523	12207
448	3529	12190
449	3536	12181
450	3545	12176
451	3550	12160
452	3559	12155
453	3568	12152
454	3576	12144
455	3584	12137
456	3593	12132
457	3600	12122
458	3607	12109
459	3615	12105
460	3624	12101
461	3633	12094
462	3641	12087
463	3647	12073
464	3656	12069
465	3663	12059
466	3667	12039
467	3674	12028
468	3679	12012
469	3688	12007
470	3696	11999
471	3705	11995
472	3710	11978
473	3718	11971
474	3724	11958
475	3729	11940
476	3733	11920
477	3738	11902
478	3745	11894
479	3751	11880
480	3760	11876
481	3769	11872
482	3777	11865
483	3785	11855
484	3793	11850
485	3797	11829
486	3803	11816
487	3811	11809
488	3819	11803
489	3828	11799
490	3836	11791
491	3842	11777
492	3849	11765
493	3857	11759
494	3863	11747
495	3872	11742
496	3881	11736
497	3886	11721
498	3895	11717
499	3901	11703
500	3909	11697
501	3914	11680
502	3922	11673
503	3925	11651
504	3928	11630
505	3931	11608
506	3939	11601
507	3943	11581
508	3950	11571
509	3954	11553
510	3963	11548
511	3972	11544
512	3980	11537
513	3988	11531
514	3996	11523
515	4002	11511
516	4007	11495
517	4015	11487
518	4025	11486
519	4033	11481
520	4042	11475
521	4049	11466
522	4059	11463
523	4067	11457
524	4077	11454
525	4080	11435
526	4084	11417
527	4093	11411
528	4102	11406
529	4110	11400
530	4118	11394
531	4127	11388
532	4135	11383
533	4144	11379
534	4153	11372
535	4162	11369
536	4171	11363
537	4179	11357
538	4188	11351
539	4197	11348
540	4201	11331
541	4210	11326
542	4218	11319
543	4224	11307
544	4228	11288
545	4232	11272
546	4241	11266
547	4249	11258
548	4257	11252
549	4266	11248
550	4273	11237
551	4280	11229
552	4288	11220
553	4296	11213
554	4304	11207
555	4311	11197
556	4320	11191
557	4324	11175
558	4333	11171
559	4342	11167
560	4346	11149
561	4355	11143
562	4363	11137
563	4371	11129
564	4379	11123
565	4388	11118
566	4395	11108
567	4404	11103
568	4413	11098
569	4420	11091
570	4426	11078
571	4435	11072
572	4444	11067
573	4452	11062
574	4460	11053
575	4464	11037
576	4470	11024
577	4478	11017
578	4487	11012
579	4495	11007
580	4499	10988
581	4506	10979
582	4515	10974
583	4523	10969
584	4527	10950
585	4532	10937
586	4539	10927
587	4547	10919
588	4554	10911
589	4563	10906
590	4571	10899
591	4576	10885
592	4582	10872
593	4590	10865
594	4598	10858
595	4605	10849
596	4611	10836
597	4620	10831
598	4626	10820
599	4634	10814
600	4642	10807
601	4650	10798
602	4657	10790
603	4666	10786
604	4674	10777
605	4682	10772
606	4691	10767
607	4696	10752
608	4703	10742
609	4711	10736
610	4714	10718
611	4723	10713
612	4731	10704
613	4734	10687
614	4743	10682
615	4747	10667
616	4753	10655
617	4761	10648
618	4768	10639
619	4777	10634
620	4785	10626
621	4790	10611
622	4796	10601
623	4806	10599
624	4811	10584
625	4818	10576
626	4823	10562
627	4832	10558
628	4836	10541
629	4844	10535
630	4850	10523
631	4857	10515
632	4866	10509
633	4875	10503
634	4883	10497
635	4887	10482
636	4895	10474
637	4899	10458
638	4902	10441
639	4911	10436
640	4920	10431
641	4926	10421
642	4932	10409
643	4939	10401
644	4943	10384
645	4950	10376
646	4957	10366
647	4961	10351
648	4969	10345
649	4973	10330
650	4979	10319
651	4989	10315
652	4996	10306
653	5005	10301
654	5014	10296
655	5023	10291
656	5031	10284
657	5040	10279
658	5048	10273
659	5058	10269
660	5066	10263
661	5072	10253
662	5078	10242
663	5084	10229
664	5092	10223
665	5102	10219
666	5110	10213
667	5116	10202
668	5125	10196
669	5129	10182
670	5134	10169
671	5141	10160
672	5150	10155
673	5157	10145
674	5165	10140
675	5168	10123
676	5172	10107
677	5180	10100
678	5188	10093
679	5192	10079
680	5201	10074
681	5209	10067
682	5217	10060
683	5221	10045
684	5228	10037
685	5233	10025
686	5240	10016
687	5249	10009
688	5257	10002
689	5260	9986
690	5268	9980
691	5272	9965
692	5280	9958
693	5289	9953
694	5296	9945
695	5305	9939
696	5314	9934
697	5323	9929
698	5331	9923
699	5337	9911
700	5342	9900
701	5352	9896
702	5358	9886
703	5366	9879
704	5374	9872
705	5383	9866
706	5390	9858
707	5398	9852
708	5405	9842
709	5413	9835
710	5418	9823
711	5425	9814
712	5432	9806
713	5439	9796
714	5448	9791
715	5452	9778
716	5462	9773
717	5468	9763
718	5477	9758
719	5481	9745
720	5487	9733
721	5495	9726
722	5504	9722
723	5510	9712
724	5519	9707
725	5529	9702
726	5536	9694
727	5542	9684
728	5550	9678
729	5559	9671
730	5567	9665
731	5576	9660
732	5586	9656
733	5595	9650
734	5601	9641
735	5610	9634
736	5617	9626
737	5622	9613
738	5631	9609
739	5636	9597
740	5644	9590
741	5651	9581
742	5660	9575
743	5666	9566
744	5673	9557
745	5678	9544
746	5682	9531
747	5686	9517
748	5689	9503
749	5692	9488
750	5699	9478
751	5703	9466
752	5711	9458
753	5720	9453
754	5724	9439
755	5733	9433
756	5739	9423
757	5744	9412
758	5754	9408
759	5762	9401
760	5766	9388
