iter	Logloss
0	0.6919834608
1	0.690484351
2	0.6889742669
3	0.6877021147
4	0.6863681998
5	0.6850644206
6	0.6837150984
7	0.6826238465
8	0.6814101978
9	0.680224445
10	0.6788877709
11	0.6774851371
12	0.6762838407
13	0.6750310725
14	0.6736881104
15	0.6724689048
16	0.6713852391
17	0.6702746924
18	0.669410319
19	0.6683871904
20	0.6675207027
21	0.6666084137
22	0.6656945522
23	0.6647892259
24	0.6640591571
25	0.6631505409
26	0.6624072454
27	0.6617161729
28	0.6609986191
29	0.6602182553
30	0.6595134225
31	0.6590258602
32	0.6584457873
33	0.657751393
34	0.6569028194
35	0.6561746353
36	0.655682124
37	0.6549505472
38	0.6542177759
39	0.6536722049
40	0.6530338939
41	0.6526438357
42	0.6521948604
43	0.6516757821
44	0.6510243534
45	0.6505917791
46	0.6499180516
47	0.6494348331
48	0.6487120256
49	0.6481618177
50	0.6475852797
51	0.647226378
52	0.6466887536
53	0.6461179782
54	0.6457540019
55	0.6453235852
56	0.6447150771
57	0.6443162699
58	0.6437274515
59	0.6432715792
60	0.6427182196
61	0.6423461758
62	0.642053424
63	0.6416875557
64	0.6413466026
65	0.6408456019
66	0.6405921631
67	0.6401279278
68	0.6395836768
69	0.6391194648
70	0.6387599062
71	0.6384498968
72	0.6379322682
73	0.6374830817
74	0.6370354792
75	0.6367976726
76	0.6364101512
77	0.6360894558
78	0.6357460576
79	0.6355320546
80	0.6351531087
81	0.6347810198
82	0.6345626304
83	0.6342920429
84	0.6341278802
85	0.6337181617
86	0.6334054709
87	0.6330752973
88	0.6327154502
89	0.63235941
90	0.6321113932
91	0.6320146087
92	0.6318785226
93	0.6315206534
94	0.6312769442
95	0.6309745123
96	0.6307530448
97	0.6304712235
98	0.630153799
99	0.6299840548
100	0.6298596768
101	0.6295742104
102	0.6295322687
103	0.6292708937
104	0.6291014457
105	0.6289730295
106	0.6288255905
107	0.6286839836
108	0.6285501791
109	0.6284119326
110	0.628182743
111	0.6279377996
112	0.6276257253
113	0.6273247423
114	0.6271419079
115	0.6269689733
116	0.6268550374
117	0.6267103697
118	0.6264523312
119	0.6263203748
120	0.6261024708
121	0.6259071929
122	0.6258060274
123	0.6256267092
124	0.625494303
125	0.6252984331
126	0.6251899603
127	0.6250573642
128	0.6248705117
129	0.6247206489
130	0.6246088588
131	0.624475239
132	0.6243563033
133	0.6242436253
134	0.624059882
135	0.6239355218
136	0.6238061374
137	0.6237126447
138	0.6235850412
139	0.6234452274
140	0.623259233
141	0.6231416684
142	0.6230815854
143	0.6229587638
144	0.6227804604
145	0.6225696209
146	0.6224659968
147	0.6224287642
148	0.6223395557
149	0.6222635521
150	0.6221364503
151	0.6220609975
152	0.6219051177
153	0.6217450289
154	0.6216230712
155	0.6215208342
156	0.6214992525
157	0.6214840957
158	0.6214263186
159	0.6214102623
160	0.6213519937
161	0.6213305361
162	0.6213155319
163	0.6212664594
164	0.6211705334
165	0.6210486511
166	0.6208781005
167	0.6207834983
168	0.6206885211
169	0.6206081575
170	0.620506756
171	0.6203917525
172	0.6203635853
173	0.6201776311
174	0.6200861934
175	0.6200279543
176	0.6199318319
177	0.6198806654
178	0.6198602804
179	0.619772652
180	0.6196725957
181	0.6195943757
182	0.61952962
183	0.6194783044
184	0.6194484628
185	0.6193796979
186	0.6192692564
187	0.6192423989
188	0.61913211
189	0.6190736455
190	0.6190213593
191	0.6188817984
192	0.6188638438
193	0.6188029393
194	0.6187529029
195	0.6186717247
196	0.6186540649
197	0.6186248394
